IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0,,,0,,0,0 [0 – 0],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0.2,,,0.1,,0.3,0.2 [0.1 – 0.3],,"Rate refers to smoking only, not all tobacco use.",EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0.3,,,0.1,,0.5,0.3 [0.1 – 0.5],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,GHA,Ghana,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0.4,,,0.2,,0.6,0.4 [0.2 – 0.6],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0.4,,,0.3,,0.5,0.4 [0.3 – 0.5],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0.5,,,0.3,,0.7,0.5 [0.3 – 0.7],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0.7,,,0.3,,1.2,0.7 [0.3 – 1.2],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,SEN,Senegal,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0.7,,,0.4,,1.1,0.7 [0.4 – 1.1],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0.8,,,0.1,,1.6,0.8 [0.1 – 1.6],,,EN,2020-06-11T04:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,NER,Niger,Year,2018,true,Sex,Female,FMLE,,,,,,,,,,0.8,,,0.5,,1.2,0.8 [0.5 – 1.2],,,EN,2020-06-11T04:00:00.000Z
